id,driver,trip,driver_trip,duration,avg_speed,avg_acc,avg_corrected_speed,avg_corrected_acc,avg_angle_change,avg_distance,total_distance,fastest_speed,longest_distance,max_angle_change,times_speed_up,times_speed_down,per_speed_up,per_speed_down,var_corrected_instant_speed,var_corrected_instant_acc,highway,num_of_acc_4,hard_acc2,hard_brak2,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10,speed1,speed2,speed3,speed4,speed5,speed6,speed7,speed8,speed9,speed10,speed_fill,acc_fill,per_of_speed_15,per_of_speed_11_15,per_of_speed_7_11,per_of_speed_5_7,per_of_speed_5,min_var,max_var,time_of_turning,avg_speed_turning,avg_speed_excluding_stop,10s_constant,10s_acceleration,10s_deceleration,time_taken_stop,max_dec,num_stop,avg_num_period,min_period,max_period,var_min_p,var_max_p,sd_distance,avg_dist_traveled,var_dur_stop,std_dur_stop,pro_acc_below1,pro_dec_below1,num_of_acc_3,num_of_acc_35,hard_acc15,hard_brak15,hard_acc25,hard_brak25,per_straight,per_10_45,per_45_90,per_90_120,per_120_170,per_back
37401,1178,1,1178_1,448,7.7207623982253919,0.00022,7.7207623982253919,0.00022,16.988,7.72076,3458.90155,25.38996,25.38996,180.0,10,10,2.232,2.232,57.806903883006029,0.63496743866257987,0,0,1.339,0.893,97.54177774462606,101.30993247402273,105.47756376211225,120.96375653205629,134.99999999996743,141.54629078329404,153.43494882291682,157.61986494804037,180.0,180.0,5.90931468107767,0.10000000000002274,8.028075734570514,0.14142135623726126,0.29999999999972715,0.7211102550927979,0.6324555320336039,0.5099019513592786,0.20000000000004547,0.20000000000004547,7.87934,0.00067,11.111,11.111,33.333,11.111,33.333,3.59463,44.53496,14,3.111,11.23265,17.856999999999999,41.963999999999999,40.179000000000002,21.5,-0.22284713916180215,7,38.142857142857146,7,127,0.47864859831724316,35.919379297217937,684.68440514358122,481.45101134375562,243.9591836734694,15.619192798396126,39.80263,33.88158,0,0,3.348,3.125,1.116,0.223,72.54464285714286,12.053571428571429,10.267857142857142,3.3482142857142856,1.1160714285714286,0.6696428571428571
37402,1178,10,1178_10,500,8.6405189578187489,0.0,8.6405189578187489,0.0,10.466,8.64052,4320.25948,24.32386,24.32386,180.0,7,10,1.4,2.0,50.171112139574788,0.94580717239515899,0,0,9.0,10.6,93.814074834269604,94.184916125108401,97.125016348832659,129.80557109226413,135.00000000000003,173.08877288098154,180.0,180.0,180.0,180.0,1.0630145812734393,1.140175425099098,1.1401754250987393,0.781024967590683,1.1313708498987332,1.140175425099098,0.10000000000002274,0.10000000000002274,0.10000000000002274,0.10000000000002274,8.79033,0.0023,9.091,36.364,9.091,18.182,27.273,0.12215,18.19513,12,4.246,10.15391,2.0,55.200000000000003,42.799999999999997,0.0,0,5,70.200000000000003,9,284,0.94551500241071273,24.869180048854091,1503.3786325009828,851.39485728394141,5.3333333333333339,2.3094010767585034,31.29412,26.82353,1,0,12.6,16.2,2.6,2.8,80.6,12.4,4.0,1.4,0.4,1.2
37403,1178,100,1178_100,208,5.100759326938431,0.00198,5.100759326938431,0.00198,5.774,5.10076,1060.95794,16.06549,16.06549,90.0,4,7,1.923,3.365,28.765619673265988,0.26634652007118892,0,0,0.0,0.0,22.384248763864267,22.625093977163093,29.281583204600615,35.311830797830311,63.43494882292201,80.537677791972627,80.537677791983185,80.537677791983185,90.0,90.0,6.741661516273272,6.303173803727771,5.700877125495656,5.246903848938006,0.44721359549995804,0.10000000000002274,0.6082762530298295,0.6082762530298295,0.4,0.4,5.35524,0.00041,0.0,0.0,50.0,0.0,50.0,4.21305,11.0149,6,3.177,9.40275,38.462000000000003,30.288,31.25,25.0,-0.35567018024577995,1,108.0,108,108,11.446956022951635,11.446956022951635,0.0,1046.7965346466769,121.0,11.0,36.60714,49.10714,0,0,0.0,0.481,0.0,0.0,86.0576923076923,10.576923076923077,1.9230769230769231,1.4423076923076923,0.0,0.0
37404,1178,101,1178_101,503,9.6142425991350109,0.00028,9.6142425991350109,0.00028,11.917,9.61424,4835.96403,23.08463,23.08463,180.0,13,11,2.584,2.187,50.47031538811882,0.70254408938434165,0,0,0.795,0.596,108.43494882294807,116.56505117707799,135.0,142.12501634889779,148.6713071321883,160.61548432062185,161.56505117707798,167.57405713457428,169.77783136637686,171.86989764582958,0.14142135623718088,0.09999999999999998,0.14142135623718088,1.1401754250987393,0.5385164807133829,1.06301458127314,0.4472135954995512,1.2083045973593745,0.5830951894846237,0.49999999999954525,9.80265,0.00065,18.182,18.182,36.364,0.0,27.273,0.11636,35.13312,12,4.068,12.19997,19.881,44.731999999999999,35.387999999999998,13.5,-0.7153525876471697,3,125.66666666666667,8,199,1.1673070136624384,26.030807084798298,1102.2797584222171,1596.4649209957013,215.6875,14.686303142724515,43.65482,28.93401,0,0,1.789,1.59,0.199,0.199,79.32405566600397,11.928429423459244,5.566600397614314,1.3916500994035785,1.3916500994035785,0.3976143141153082
37405,1178,102,1178_102,345,8.5055330172206958,0.00092,8.5055330172206958,0.00092,12.989,8.50553,2934.40889,26.70805,26.70805,180.0,4,7,1.159,2.029,69.835560266881657,0.91159982022345321,0,3,2.029,1.449,101.3099324740578,104.0362434679265,104.0362434679265,104.03624346793414,108.43494882290898,108.43494882291874,120.96375653210609,139.76364169072687,161.56505117710404,166.20051460397946,0.14142135623742205,0.41231056256185983,0.41231056256185983,0.4123105625616392,0.31622776601676605,0.10000000000002274,0.41231056256185983,0.4472135954999643,0.40000000000009095,0.8062257748298602,8.68531,0.00013,28.571,14.286,14.286,14.286,28.571,0.03941,32.75212,9,3.773,13.53588,31.884,35.652000000000001,32.463999999999999,21.0,-0.3343574616107927,3,70.0,9,166,0.94732820615467106,34.482965824976802,1168.633453030383,967.76835437850843,597.55555555555554,24.444949489732139,39.53488,29.30233,3,3,3.188,2.609,1.739,1.159,75.94202898550725,13.91304347826087,6.086956521739131,2.608695652173913,1.1594202898550725,0.2898550724637681
37406,1178,103,1178_103,814,3.7741917054814618,-0.0,3.3056430368220289,-0.0,3.151,3.77419,3072.19205,19.25876,384.72277,165.964,7,7,0.86,0.86,30.53781010819603,0.18645822103643067,0,0,0.246,0.246,75.963756532073546,78.690067525989804,78.690067525989804,90.0,90.0,99.462322208025626,101.3099324740102,101.30993247402021,130.23635830927293,135.00000000003257,0.4123105625617662,0.5099019513592606,0.5099019513592606,0.6000000000000227,0.6000000000000227,0.608276253029822,0.5099019513592606,0.10000000000000009,1.7029386365927068,0.5,3.34604,0.00017,5.556,11.111,5.556,5.556,72.222,0.00042,17.45966,24,3.136,10.72239,70.025000000000006,16.216000000000001,13.759,37.0,-0.30285676565462955,2,117.5,39,196,3.348846088210411,16.165099320469473,1208.5260658899779,1515.3382480142084,52800.222222222219,229.78298941005667,43.37349,39.75904,0,0,0.737,0.86,0.123,0.123,93.61179361179362,4.422604422604422,0.9828009828009828,0.6142506142506142,0.36855036855036855,0.0
37407,1178,104,1178_104,423,9.2172365052724707,0.00144,9.2172365052724707,0.00144,12.234,9.21724,3898.89104,21.83873,21.83873,180.0,8,6,1.891,1.418,50.88616822714912,0.82280436469035556,0,2,2.364,2.837,101.30993247402273,104.03624346791115,108.43494882305228,113.19859051364932,116.56505117707799,116.56505117707799,119.74488129694622,126.86989764586227,143.13010235413776,152.18570614422498,0.509901951359283,0.41231056256183224,0.4472135955000596,1.4142135623730951,0.10000000000002274,0.10000000000002274,0.8062257748299396,0.5000000000000909,0.1999999999999318,1.104536101718864,9.35534,0.00061,22.222,33.333,11.111,0.0,33.333,0.1201,31.16562,10,3.717,12.5623,21.277000000000001,41.134999999999998,37.588999999999999,17.0,-0.4897677349431406,3,98.0,8,169,1.2679097235164507,11.165227939855624,888.43150712307749,1284.9050671393054,214.80000000000001,14.656056768449009,42.20779,33.44156,3,2,4.728,4.728,1.655,1.418,76.59574468085107,14.42080378250591,4.491725768321513,3.5460992907801416,0.7092198581560284,0.2364066193853428
37408,1178,105,1178_105,842,5.8516472803123474,0.0,5.8516472803123474,0.0,9.529,5.85165,4927.08701,25.70311,25.70311,180.0,13,15,1.544,1.781,53.996407004675333,0.36646896354700637,0,0,0.238,0.356,116.56505117705845,116.56505117707802,127.87498365109826,150.80251395393711,153.43494882292214,180.0,180.0,180.0,180.0,180.0,0.31622776601676605,0.10000000000000053,0.22360679774997838,0.6082762530299602,0.22360679774997896,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,5.92175,8e-05,5.556,27.778,5.556,11.111,50.0,0.01147,107.74538,24,2.004,10.61383,39.192,31.116,29.690999999999999,21.5,-0.13839256706555242,8,51.125,7,117,0.87906117777367143,17.733920134827844,653.32758063058577,600.14195077495185,5291.3580246913589,72.741721348146271,40.95861,40.08715,0,0,0.713,1.306,0.0,0.0,82.1852731591449,11.401425178147269,3.32541567695962,2.019002375296912,0.35629453681710216,0.7125890736342043
37409,1178,106,1178_106,813,6.065725847531267,0.0,6.065725847531267,0.0,11.205,6.06573,4931.43511,42.17345,42.17345,180.0,20,17,2.46,2.091,45.759233165223321,2.7948607507721888,0,4,2.214,1.353,108.43494882292183,109.25929164376723,120.96375653207448,126.86989764584045,126.86989764584142,131.56146921167078,134.99999999999795,134.9999999999996,135.00000000000037,165.96375653208884,0.31622776601683455,2.5298221281347093,0.0999999999999659,0.0999999999999659,0.09999999999999432,5.0635955604688645,0.0999999999999659,0.5656854249492423,0.10000000000000142,0.5656854249493666,6.11437,0.00015,11.111,11.111,16.667,5.556,55.556,0.02085,45.55266,24,3.072,9.10351,28.289999999999999,37.761000000000003,33.948,14.5,-0.15334420351402528,14,33.285714285714285,5,154,0.38867582120383676,30.832595731571757,610.41116822666686,341.09159980104869,856.484375,29.265754304305911,38.80597,33.76866,5,5,3.69,2.829,1.845,0.984,78.10578105781057,13.530135301353013,5.535055350553505,1.7220172201722017,0.984009840098401,0.12300123001230012
37410,1178,107,1178_107,415,11.247361482253451,0.00076,11.247361482253451,0.00076,5.553,11.24736,4667.65502,26.22308,26.22308,135.0,12,9,2.892,2.169,56.772763301979282,0.5779670996990669,0,0,0.723,0.482,29.725412803122591,35.253817687948107,48.179830119864235,71.565051177080719,77.471192290849245,90.0,101.30993247402115,101.30993247402115,108.43494882291063,108.43494882291304,2.863564212655263,7.558438992278723,0.7071067811865476,0.9486832980505049,0.10000000000002274,0.3999999999996362,0.10000000000000853,0.10000000000000853,0.3162277660170087,0.10000000000000853,11.51285,0.00021,33.333,33.333,11.111,11.111,11.111,0.1085,76.14599,12,5.255,13.08965,19.277000000000001,40.481999999999999,40.241,0.0,0,4,85.75,9,193,0.25777295826425717,22.586004616298204,982.16061456168131,1161.0639389693872,552.25,23.5,40.44944,39.60674,1,0,1.928,0.964,0.241,0.0,87.2289156626506,10.602409638554217,0.7228915662650602,1.2048192771084338,0.24096385542168675,0.0
